Rank,Name,Weight Class,Record,Age,Location,Wins,Losses,Draws,Total Fights,Win Percentage,Region,Country,LAT,LON
114,Radzhab Butaev,welter,14 1 0,29.0,"Indio, California, USA",14,1,0,15,93.3,"Indio, California", USA,39.47905524336534,-100.98000768596543
115,Joseph Diaz,light,32 3 1,30.0,"Downey, California, USA",32,3,1,36,88.9,"Downey, California", USA,39.35109002993698,-100.31800002859234
116,Erickson Lubin,super welter,24 2 0,27.0,"Orlando, Florida, USA",24,2,0,26,92.3,"Orlando, Florida", USA,39.609145528238834,-100.49381601262301
117,Alberto Puello,super light,21 0 0,28.0,"Las Vegas, Nevada, USA",21,0,0,21,100.0,"Las Vegas, Nevada", USA,40.17232102945473,-100.30547751535055
118,Dennis Hogan,super welter,31 4 1,37.0,"Newstead, Queensland, Australia",31,4,1,36,86.1,"Newstead, Queensland", Australia,-24.943671238385082,134.783633674064
119,"Jeremias Nicolas 
 Ponce",super light,30 0 0,26.0,"José Mármol, Buenos Aires, Argentina",30,0,0,30,100.0,"José Mármol, Buenos Aires", Argentina,-35.553627539789375,-64.85510076762802
120,Lerrone Richards,super middle,16 0 0,30.0,"New Malden, London, United Kingdom",16,0,0,16,100.0,"New Malden, London", United Kingdom,55.98511894563764,-2.8568146580195592
121,Carlos Gongora,super middle,21 1 0,33.0,"Boston, Massachusetts, USA",21,1,0,22,95.5,"Boston, Massachusetts", USA,40.262494776453714,-100.31153031895539
122,Joshua Buatsi,light heavy,16 0 0,29.0,"Croydon, London, United Kingdom",16,0,0,16,100.0,"Croydon, London", United Kingdom,53.25400671828409,-3.9730753097198024
123,Tony Harrison,super welter,29 3 1,32.0,"Detroit, Michigan, USA",29,3,1,33,87.9,"Detroit, Michigan", USA,39.157654510962104,-101.49160902656234
124,Denys Berinchyk,light,17 0 0,34.0,"Kiev, Ukraine",17,0,0,17,100.0,Kiev, Ukraine,49.2862518970999,31.22611208012028
125,Caleb Plant,super middle,22 1 0,30.0,"Las Vegas, Nevada, USA",22,1,0,23,95.7,"Las Vegas, Nevada", USA,38.62599049295268,-100.18976313487029
126,Marcus Browne,light heavy,24 2 0,32.0,"Carteret, New Jersey, USA",24,2,0,26,92.3,"Carteret, New Jersey", USA,39.753499406123964,-99.97592950231272
127,Anthony Yarde,light heavy,23 2 0,31.0,"Ilford, Essex, United Kingdom",23,2,0,25,92.0,"Ilford, Essex", United Kingdom,54.94232658220976,-3.3941718555720275
128,Kiko Martinez,feather,44 11 2,36.0,"Alicante, Comunidad Valenciana, Spain",44,11,2,57,77.2,"Alicante, Comunidad Valenciana", Spain,38.35683177228876,-3.873304440884752
129,Richardson Hitchins,super light,15 0 0,25.0,"Manhattan, New York, USA",15,0,0,15,100.0,"Manhattan, New York", USA,40.65696725413069,-99.58548228044775
130,Arsen Goulamirian,cruiser,27 0 0,35.0,"Big Bear Lake, California, USA",27,0,0,27,100.0,"Big Bear Lake, California", USA,39.17138584610677,-100.59266042368624
131,Tulani Mbenge,welter,19 1 0,31.0,"Eastern Cape, South Africa",19,1,0,20,95.0,Eastern Cape, South Africa,-28.545675704361106,24.316507621377195
132,Jason Moloney,bantam,25 2 0,31.0,"Kingscliff, New South Wales, Australia",25,2,0,27,92.6,"Kingscliff, New South Wales", Australia,-25.921835703774324,133.82574788096514
133,Anthony Cacace,super feather,20 1 0,33.0,"Belfast, Northern Ireland, United Kingdom",20,1,0,21,95.2,"Belfast, Northern Ireland", United Kingdom,55.14290785525139,-4.569594993496342
134,Maxi Hughes,light,26 5 2,32.0,"Rossington, Yorkshire, United Kingdom",26,5,2,33,78.8,"Rossington, Yorkshire", United Kingdom,54.14796383181011,-3.2230071611945275
135,Otto Wallin,heavy,24 1 0,32.0,"New York, New York, USA",24,1,0,25,96.0,"New York, New York", USA,39.44600825545472,-100.92256126178488
136,Masamichi Yabuki,light fly,14 4 0,30.0,"Nagoya, Aichi, Japan",14,4,0,18,77.8,"Nagoya, Aichi", Japan,37.07561735722311,138.82008914944737
137,Danny Garcia,super welter,37 3 0,34.0,"Philadelphia, Pennsylvania, USA",37,3,0,40,92.5,"Philadelphia, Pennsylvania", USA,41.35573336370867,-100.48448015629549
138,Sergey Kovalev,cruiser,35 4 1,39.0,"Fort Lauderdale, Florida, USA",35,4,1,40,87.5,"Fort Lauderdale, Florida", USA,39.0714697062074,-100.76372868522327
139,Tony Yoka,heavy,11 1 0,30.0,"Paris, Paris, France",11,1,0,12,91.7,"Paris, Paris", France,46.42774017830127,1.9612838421143797
140,Elnur Samedov,super feather,15 1 0,29.0,"Noyabrsk, Russia",15,1,0,16,93.8,Noyabrsk, Russia,64.99595595622009,97.76072552131139
141,David Morrell,super middle,8 0 0,24.0,"Minneapolis, Minnesota, USA",8,0,0,8,100.0,"Minneapolis, Minnesota", USA,39.42769113625913,-100.71266584901005
142,Pavel Silyagin,super middle,12 0 0,29.0,"Novosibirsk, Russia",12,0,0,12,100.0,Novosibirsk, Russia,64.16357330145131,97.02946456091969
143,Kosei Tanaka,super fly,18 1 0,27.0,"Nagoya, Aichi, Japan",18,1,0,19,94.7,"Nagoya, Aichi", Japan,36.705890620824455,139.37243151360428
144,Yoshimitsu Kimura,super feather,14 2 1,26.0,"Tokyo, Japan",14,2,1,17,82.4,Tokyo, Japan,36.713213418678635,138.65514907533452
145,Emmanuel Rodriguez,bantam,21 2 0,30.0,"Vega Baja, Puerto Rico",21,2,0,23,91.3,Vega Baja, Puerto Rico,18.426062152199123,-67.0117550523968
146,Ali Akhmedov,super middle,19 1 0,27.0,"Venice, California, USA",19,1,0,20,95.0,"Venice, California", USA,39.285271887036956,-101.4400843475234
147,Josh Kelly,super welter,13 1 1,28.0,"Sunderland, Tyne and Wear, United Kingdom",13,1,1,15,86.7,"Sunderland, Tyne and Wear", United Kingdom,54.89116513876493,-3.0084627559328028
148,Edgar Berlanga,super middle,20 0 0,25.0,"New York, New York, USA",20,0,0,20,100.0,"New York, New York", USA,40.53314549442299,-100.4959196530688
149,Zelfa Barrett,super feather,28 2 0,29.0,"Manchester, Lancashire, United Kingdom",28,2,0,30,93.3,"Manchester, Lancashire", United Kingdom,55.22668156047351,-3.1155875628378125
150,"Jesus Alejandro 
 Ramos",super welter,19 0 0,21.0,"Casa Grande, Arizona, USA",19,0,0,19,100.0,"Casa Grande, Arizona", USA,40.04139240800225,-99.88998641125768
151,Panya Pradabsri,minimum,39 1 0,31.0,"Bangkok, Thailand",39,1,0,40,97.5,Bangkok, Thailand,14.480496155171444,100.28146030611647
152,Carlos Castro,super bantam,27 2 0,28.0,"Phoenix, Arizona, USA",27,2,0,29,93.1,"Phoenix, Arizona", USA,38.88447807925494,-100.39085273571804
153,"Thammanoon 
 Niyomtrong",minimum,24 0 0,32.0,"Surin, Thailand",24,0,0,24,100.0,Surin, Thailand,15.069183607261149,100.26207285652076
154,Erislandy Lara,middle,29 3 3,39.0,"Houston, Texas, USA",29,3,3,35,82.9,"Houston, Texas", USA,39.80284366086502,-100.5353312055145
155,Giovanni Cabrera,light,21 0 0,28.0,"Chicago, Illinois, USA",21,0,0,21,100.0,"Chicago, Illinois", USA,39.546088962431774,-100.38653254518822
156,Meiirim Nursultanov,middle,18 0 0,29.0,"Oxnard, California, USA",18,0,0,18,100.0,"Oxnard, California", USA,40.65714705402626,-100.74545960873034
157,Christian Mbilli,super middle,22 0 0,27.0,"Pornic, Loire-Atlantique, France",22,0,0,22,100.0,"Pornic, Loire-Atlantique", France,46.710506421926894,2.5638098288542808
158,Sergey Lipinets,super light,17 2 1,33.0,"Woodland Hills, California, USA",17,2,1,20,85.0,"Woodland Hills, California", USA,40.515740642970414,-100.16236327044012
159,Robeisy Ramirez,feather,11 1 0,28.0,"Gulfport, Florida, USA",11,1,0,12,91.7,"Gulfport, Florida", USA,39.78320967251496,-100.53247587581936
