Rank,Name,Weight Class,Record,Age,Location,Wins,Losses,Draws,Total Fights,Win Percentage,Region,Country,LAT,LON
509,Luis Arias,super welter,20 3 1,32.0,"Boca Raton, Florida, USA",20,3,1,24,83.3,"Boca Raton, Florida", USA,40.26565043968753,-100.90878032497208
510,Kevin Lerena,heavy,28 2 0,30.0,"Johannesburg, Gauteng, South Africa",28,2,0,30,93.3,"Johannesburg, Gauteng", South Africa,-28.25008532035199,25.50447286582449
511,"Hector Flores 
 Calixto",light fly,20 1 4,30.0,"Tijuana, Baja California, Mexico",20,1,4,25,80.0,"Tijuana, Baja California", Mexico,23.767631851511144,-101.62260324208391
512,Ricky Burns,light,44 8 1,39.0,"Coatbridge, Scotland, United Kingdom",44,8,1,53,83.0,"Coatbridge, Scotland", United Kingdom,53.90919638621362,-3.555084272944
513,Gamal Yafai,super bantam,19 2 0,31.0,"Birmingham, West Midlands, United Kingdom",19,2,0,21,90.5,"Birmingham, West Midlands", United Kingdom,53.34443454196322,-2.9985599475348335
514,Florian Marku,welter,12 0 1,30.0,"London, United Kingdom",12,0,1,13,92.3,London, United Kingdom,55.00070160781488,-3.190851447776567
515,Toshiya Ishii,super bantam,6 1 1,21.0,"Fujimino, Saitama, Japan",6,1,1,8,75.0,"Fujimino, Saitama", Japan,35.43786964991644,139.33629833161794
516,Gabriel Flores Jr,super feather,21 2 0,22.0,"Las Vegas, Nevada, USA",21,2,0,23,91.3,"Las Vegas, Nevada", USA,39.42817627909499,-100.63603391552508
517,Ludumo Lamati,feather,21 0 1,30.0,"Johannesburg, Gauteng, South Africa",21,0,1,22,95.5,"Johannesburg, Gauteng", South Africa,-28.918488163075565,25.157565612184598
518,Craig Woodruff,light,12 6 1,30.0,"Newport, Wales, United Kingdom",12,6,1,19,63.2,"Newport, Wales", United Kingdom,55.01737017781413,-3.362604005914683
519,Yomar Alamo,super light,20 2 1,27.0,"Caguas, Puerto Rico",20,2,1,23,87.0,Caguas, Puerto Rico,18.27080055499888,-65.42881292680845
520,Vitaly Petryakov,welter,14 0 0,22.0,"Zainsk, Russia",14,0,0,14,100.0,Zainsk, Russia,63.85509431507648,97.22305260671509
521,Jonas Sultan,bantam,18 6 0,31.0,"Cebu City, Cebu, Philippines",18,6,0,24,75.0,"Cebu City, Cebu", Philippines,12.375747841718454,122.42571006548539
522,Jose Valenzuela,light,12 1 0,23.0,"Renton, Washington, USA",12,1,0,13,92.3,"Renton, Washington", USA,40.63743527332223,-100.06798947181812
523,Pawel Czyzyk,light heavy,10 1 0,29.0,"Lubin, Poland",10,1,0,11,90.9,Lubin, Poland,52.11730068987555,19.370447508143016
524,Jeo Santisima,feather,22 5 0,26.0,"Masbate City, Masbate, Philippines",22,5,0,27,81.5,"Masbate City, Masbate", Philippines,13.707577446082563,122.23019252601118
525,Carlos Canizales,light fly,25 1 1,29.0,"Caracas, Venezuela",25,1,1,27,92.6,Caracas, Venezuela,8.13553220066603,-65.99830337040656
526,Andy Vences,super feather,23 4 1,31.0,"San Jose, California, USA",23,4,1,28,82.1,"San Jose, California", USA,40.01315975047685,-100.09224313998644
527,Rafael Pedroza,super bantam,13 0 0,26.0,"El Martillo, Panama",13,0,0,13,100.0,El Martillo, Panama,9.532678403896886,-80.76776973710636
528,Can Xu,feather,18 4 0,28.0,"Beijing, China",18,4,0,22,81.8,Beijing, China,34.85792335362263,105.02462539328064
529,Eros Correa,bantam,13 1 0,29.0,"San Jose, California, USA",13,1,0,14,92.9,"San Jose, California", USA,40.028676713194734,-100.3352231072248
530,Bakhram Murtazaliev,super welter,20 0 0,29.0,"Oxnard, California, USA",20,0,0,20,100.0,"Oxnard, California", USA,40.16084807177214,-100.56163875446447
531,TJ Doheny,super bantam,23 3 0,36.0,"Bondi Junction, New South Wales, Australia",23,3,0,26,88.5,"Bondi Junction, New South Wales", Australia,-24.611654689785624,134.4784701374059
532,Evgeny Shvedenko,super middle,16 1 0,32.0,"Karlsruhe, Baden-Württemberg, Germany",16,1,0,17,94.1,"Karlsruhe, Baden-Württemberg", Germany,50.31872321092588,10.668741079567331
533,Yudai Shigeoka,minimum,6 0 0,25.0,"Tokyo, Japan",6,0,0,6,100.0,Tokyo, Japan,37.25295899706105,140.2799497143113
534,Mike Plania,super bantam,26 2 0,25.0,"General Santos City, Cotabato del Sur, Philippines",26,2,0,28,92.9,"General Santos City, Cotabato del Sur", Philippines,13.029834740218758,123.01785542819523
535,Raymond Muratalla,light,16 0 0,25.0,"Fontana, California, USA",16,0,0,16,100.0,"Fontana, California", USA,38.727420233929436,-100.59385485124851
536,Yvan Mendy,light,47 6 1,37.0,"Pont-Sainte-Maxence, Oise, France",47,6,1,54,87.0,"Pont-Sainte-Maxence, Oise", France,47.10785105327842,1.4790181363351012
537,Aaron Alameda,super bantam,27 2 0,29.0,"Nogales, Sonora, Mexico",27,2,0,29,93.1,"Nogales, Sonora", Mexico,24.247400080096945,-102.18441670813301
538,Simon Kean,heavy,22 1 0,33.0,"Trois-Rivières, Quebec, Canada",22,1,0,23,95.7,"Trois-Rivières, Quebec", Canada,60.755808592753574,-106.99140819278108
539,Daniyar Yeleussinov,welter,11 0 0,31.0,"Miami, Florida, USA",11,0,0,11,100.0,"Miami, Florida", USA,39.25912310133235,-100.04129361791483
540,"Janelson Figueroa 
 Bocachica",welter,17 1 1,24.0,"Detroit, Michigan, USA",17,1,1,19,89.5,"Detroit, Michigan", USA,39.481157821790674,-99.60495369274443
541,Tomoki Kameda,feather,39 3 0,31.0,"Nishinomiya, Hyogo, Japan",39,3,0,42,92.9,"Nishinomiya, Hyogo", Japan,35.900696344761144,138.3055685774832
542,Ionut Baluta,super bantam,15 4 0,28.0,"Madrid, Comunidad de Madrid, Spain",15,4,0,19,78.9,"Madrid, Comunidad de Madrid", Spain,39.24866449188119,-4.309194207632619
543,Kazuto Takesako,middle,15 0 1,31.0,"Tokyo, Japan",15,0,1,16,93.8,Tokyo, Japan,36.385958154463,138.14940674360062
544,"Marcelo Esteban 
 Coceres",middle,31 5 1,31.0,"Buenos Aires, Distrito Federal, Argentina",31,5,1,37,83.8,"Buenos Aires, Distrito Federal", Argentina,-35.09319372790699,-65.5392559653248
545,Issac Hardman,middle,13 1 0,26.0,"Brisbane, Queensland, Australia",13,1,0,14,92.9,"Brisbane, Queensland", Australia,-24.90572449183936,134.9407401419323
546,Esteban Bermudez,light fly,14 4 2,27.0,"Nezahualcóyotl, México, Mexico",14,4,2,20,70.0,"Nezahualcóyotl, México", Mexico,23.60327882051118,-102.445736608814
547,Josh Wagner,welter,14 0 0,30.0,"Orangeville, Ontario, Canada",14,0,0,14,100.0,"Orangeville, Ontario", Canada,60.74775107580906,-107.82301614059386
548,Marten Arsumanjan,middle,12 2 2,29.0,"Stein, Bayern, Germany",12,2,2,16,75.0,"Stein, Bayern", Germany,50.80718628921215,11.159497463690908
549,Otar Eranosyan,super feather,12 0 0,29.0,"Miami Beach, Florida, USA",12,0,0,12,100.0,"Miami Beach, Florida", USA,39.40991581834265,-99.99932291355367
550,Omar Salcido Gamez,light,17 0 0,23.0,"Hermosillo, Sonora, Mexico",17,0,0,17,100.0,"Hermosillo, Sonora", Mexico,23.647870819649764,-102.22721609213446
551,Ryuto Owan,super bantam,9 1 0,24.0,"Tokyo, Japan",9,1,0,10,90.0,Tokyo, Japan,36.081973183682265,139.3685898409955
552,Przemyslaw Runowski,welter,20 2 0,28.0,"Slupsk, Poland",20,2,0,22,90.9,Slupsk, Poland,52.542192845064356,19.09158435753655
553,Tommy McCarthy,cruiser,20 4 0,32.0,"Belfast, Northern Ireland, United Kingdom",20,4,0,24,83.3,"Belfast, Northern Ireland", United Kingdom,54.70726638619756,-3.770264710881795
554,Jeison Rosario,middle,23 4 1,27.0,"Miami, Florida, USA",23,4,1,28,82.1,"Miami, Florida", USA,40.151332235559124,-100.43302993934674
555,Lusanda Komanisi,light,27 6 0,33.0,"Mdantsane, Eastern Cape, South Africa",27,6,0,33,81.8,"Mdantsane, Eastern Cape", South Africa,-28.747689755768334,24.764219462156998
556,Kenta Nakagawa,super fly,22 4 1,37.0,"Tokyo, Japan",22,4,1,27,81.5,Tokyo, Japan,36.771116437971344,139.99302054752928
557,Vaughn Alexander,middle,17 6 1,37.0,"Saint Louis, Missouri, USA",17,6,1,24,70.8,"Saint Louis, Missouri", USA,39.46496993172511,-100.0573957996326
558,Christian Carto,bantam,20 1 0,26.0,"Philadelphia, Pennsylvania, USA",20,1,0,21,95.2,"Philadelphia, Pennsylvania", USA,40.20357009385703,-101.34262977602864
559,Vadim Tukov,middle,9 0 0,28.0,"Rostov-na-Donu, Russia",9,0,0,9,100.0,Rostov-na-Donu, Russia,64.11789621115773,97.69194385566614
560,Lennox Clarke,super middle,20 2 1,31.0,"Halesowen, West Midlands, United Kingdom",20,2,1,23,87.0,"Halesowen, West Midlands", United Kingdom,54.81718803966253,-3.485868260970382
561,Tugstsogt Nyambayar,super feather,12 2 1,30.0,"Los Angeles, California, USA",12,2,1,15,80.0,"Los Angeles, California", USA,39.20150495367952,-100.30494999570347
562,"Batyrzhan 
 Jukembayev",super light,19 1 0,31.0,"Montreal, Quebec, Canada",19,1,0,20,95.0,"Montreal, Quebec", Canada,60.73562398440053,-107.86180723795853
563,"Lucas Brian Ariel 
 Bastida",super welter,19 2 1,25.0,"Mar del Plata, Buenos Aires, Argentina",19,2,1,22,86.4,"Mar del Plata, Buenos Aires", Argentina,-34.61780281043487,-65.66093295376174
564,Christian Tapia,super feather,15 1 0,28.0,"Coamo, Puerto Rico",15,1,0,16,93.8,Coamo, Puerto Rico,17.456161687325615,-66.18102980038151
565,Trevor Bryan,heavy,22 1 0,33.0,"Schenectady, New York, USA",22,1,0,23,95.7,"Schenectady, New York", USA,39.27153717624287,-100.6440601985823
566,Conor Wallace,light heavy,10 1 0,26.0,"Fortitude Valley, Queensland, Australia",10,1,0,11,90.9,"Fortitude Valley, Queensland", Australia,-24.506684818539288,134.3396743773673
567,Antonio Moran,super light,29 5 1,29.0,"Mexico City, Distrito Federal, Mexico",29,5,1,35,82.9,"Mexico City, Distrito Federal", Mexico,23.943542199601556,-102.16254914408427
568,Matteo Signani,middle,32 6 3,43.0,"Savignano sul Rubicone, Emilia Romagna, Italy",32,6,3,41,78.0,"Savignano sul Rubicone, Emilia Romagna", Italy,42.141939811309456,12.943280559636642
569,Anthony Yigit,light,26 2 1,31.0,"Stockholm, Sweden",26,2,1,29,89.7,Stockholm, Sweden,59.101060459018655,15.143575987993477
570,"Vasily 
 Voytsekhovsky",light heavy,10 0 0,26.0,"Moscow, Russia",10,0,0,10,100.0,Moscow, Russia,64.98464453649888,98.51107456959602
571,Luis Reynaldo Nunez,feather,18 0 0,23.0,"Puerto Plata, Dominican Republic",18,0,0,18,100.0,Puerto Plata, Dominican Republic,19.759155498290387,-70.64636100447437
572,Lunga Sitemela,super feather,15 1 0,31.0,"Cape Town, Western Cape, South Africa",15,1,0,16,93.8,"Cape Town, Western Cape", South Africa,-28.0039082805753,24.911552800852732
573,Agron Smakici,heavy,19 1 0,32.0,"Hamburg, Hamburg, Germany",19,1,0,20,95.0,"Hamburg, Hamburg", Germany,51.030290231926585,10.718686033106525
574,Nhlanhla Tyirha,light fly,8 1 0,23.0,"Eastern Cape, South Africa",8,1,0,9,88.9,Eastern Cape, South Africa,-28.85700603298597,25.060933672977868
575,Nahir Albright,light,15 2 0,26.0,"Sicklerville, New Jersey, USA",15,2,0,17,88.2,"Sicklerville, New Jersey", USA,40.13306403294477,-100.54172355558447
576,Steven Nelson,light heavy,18 0 0,34.0,"Omaha, Nebraska, USA",18,0,0,18,100.0,"Omaha, Nebraska", USA,40.57872317244961,-100.77670003477529
577,Katsuma Akitsugi,super bantam,10 0 0,25.0,"Hollywood, California, USA",10,0,0,10,100.0,"Hollywood, California", USA,38.800129740143184,-100.88782373336896
578,Carlos Takam,heavy,39 7 1,42.0,"Henderson, Nevada, USA",39,7,1,47,83.0,"Henderson, Nevada", USA,40.32407503759443,-99.82987768303845
579,Shuma Nakazato,light,12 2 3,26.0,"Ginowan, Okinawa, Japan",12,2,3,17,70.6,"Ginowan, Okinawa", Japan,36.8620080396193,138.3214828381635
580,Saul Sanchez,bantam,18 2 0,25.0,"Pacoima, California, USA",18,2,0,20,90.0,"Pacoima, California", USA,39.228759151421706,-99.42701756568367
581,Musashi Mori,super feather,13 1 0,23.0,"Nagoya, Aichi, Japan",13,1,0,14,92.9,"Nagoya, Aichi", Japan,36.510442574972146,139.6467329325396
582,Jordan Thompson,cruiser,14 0 0,29.0,"London, United Kingdom",14,0,0,14,100.0,London, United Kingdom,54.85821328949546,-3.017781365537608
583,Diego Torres Nunez,light,16 0 0,25.0,"Zapopan, Jalisco, Mexico",16,0,0,16,100.0,"Zapopan, Jalisco", Mexico,23.304783566935864,-101.87636294275377
584,Alen Babic,,11 0 0,32.0,"Zagreb, Croatia",11,0,0,11,100.0,Zagreb, Croatia,44.78170602377936,17.584501900819568
585,"Alejandro Luis 
 Silva",super welter,19 0 1,29.0,"Avellaneda, Buenos Aires, Argentina",19,0,1,20,95.0,"Avellaneda, Buenos Aires", Argentina,-34.30581571444023,-64.6611103114837
586,Jason Cunningham,super bantam,31 7 0,33.0,"Woodlands, Doncaster, Yorkshire, United Kingdom",31,7,0,38,81.6,"Woodlands, Doncaster, Yorkshire", United Kingdom,54.216057272131685,-3.2384702540032517
587,Julio Luna Avila,welter,19 1 2,24.0,"Gomez Palacio, Durango, Mexico",19,1,2,22,86.4,"Gomez Palacio, Durango", Mexico,22.6609558736955,-101.42402268575192
588,Cesar Mateo Tapia,super middle,15 0 0,24.0,"Narrabeen, New South Wales, Australia",15,0,0,15,100.0,"Narrabeen, New South Wales", Australia,-25.66811610929501,134.12825090917696
589,Landi Ngxeke,super fly,9 1 1,27.0,"Sada, Eastern Cape, South Africa",9,1,1,11,81.8,"Sada, Eastern Cape", South Africa,-29.710306160438765,24.868194694838557
590,Talgat Shayken,welter,9 0 0,22.0,"Koksetau, Kazakhstan",9,0,0,9,100.0,Koksetau, Kazakhstan,48.69801182757948,66.40338152399067
591,Mansur Elsaev,light heavy,16 0 0,31.0,"Vienna, Austria",16,0,0,16,100.0,Vienna, Austria,47.88434631462153,14.069245319146022
592,Ivan Kozlovsky,super light,7 0 0,25.0,"Novosibirsk, Russia",7,0,0,7,100.0,Novosibirsk, Russia,65.47800158760903,97.16919004602407
593,Anthony Dirrell,super middle,34 3 2,38.0,"Flint, Michigan, USA",34,3,2,39,87.2,"Flint, Michigan", USA,39.7307151439907,-100.47432067253872
594,Ruben Torres,light,19 1 0,25.0,"Santa Monica, California, USA",19,1,0,20,95.0,"Santa Monica, California", USA,39.82538348744073,-100.98149009883099
595,"Irvin Turrubiartes 
 Perez",feather,24 0 1,24.0,"Monterrey, Nuevo León, Mexico",24,0,1,25,96.0,"Monterrey, Nuevo León", Mexico,24.480351833754995,-102.35221156830558
596,Vladyslav Sirenko,heavy,19 0 0,27.0,"Kiev, Ukraine",19,0,0,19,100.0,Kiev, Ukraine,49.24771029612676,31.540594406868326
597,Gerald Washington,heavy,20 5 1,40.0,"Vallejo, California, USA",20,5,1,26,76.9,"Vallejo, California", USA,40.21268827076419,-100.16579812621585
598,Faiga Opelu,heavy,15 3 1,28.0,"Camira, Queensland, Australia",15,3,1,19,78.9,"Camira, Queensland", Australia,-24.7604613638771,133.93214978085572
599,Ronald Malindi,bantam,19 0 0,,"Gauteng, South Africa",19,0,0,19,100.0,Gauteng, South Africa,-29.284091257758895,25.10657628691226
600,Steve Rolls,middle,22 2 0,38.0,"Toronto, Ontario, Canada",22,2,0,24,91.7,"Toronto, Ontario", Canada,61.21914300133311,-108.28500483780124
601,Jordy Weiss,welter,30 0 0,29.0,"Laval, Mayenne, France",30,0,0,30,100.0,"Laval, Mayenne", France,46.18234158960272,2.2017908329335056
602,"Ihosvany Rafael 
 Garcia",super middle,9 0 0,27.0,"Poznan, Poland",9,0,0,9,100.0,Poznan, Poland,52.363353197695,18.99507764657017
603,Miguel Madueno,light,28 1 0,24.0,"Orange, California, USA",28,1,0,29,96.6,"Orange, California", USA,39.84534251184572,-100.7792986941787
604,"Williams Andres 
 Herrera",welter,14 1 0,26.0,"La Calera, Cordoba, Argentina",14,1,0,15,93.3,"La Calera, Cordoba", Argentina,-35.18969684340905,-64.68044677627806
605,Isa Chaniev,light,15 4 1,30.0,"Nazran, Russia",15,4,1,20,75.0,Nazran, Russia,64.64725123671894,97.9400350993212
606,Ahmed Elbiali,light heavy,22 1 0,32.0,"Miami, Florida, USA",22,1,0,23,95.7,"Miami, Florida", USA,39.57684852411553,-100.34565611517708
607,Emmany Kalombo,super welter,17 1 0,39.0,"Johannesburg, Gauteng, South Africa",17,1,0,18,94.4,"Johannesburg, Gauteng", South Africa,-29.104893422552358,25.65883036336035
608,Arslan Iallyev,heavy,13 0 0,26.0,"Moscow, Russia",13,0,0,13,100.0,Moscow, Russia,64.53559439638217,98.19034303981698
609,Slawa Spomer,super welter,17 0 0,,"Heilbronn, Baden-Württemberg, Germany",17,0,0,17,100.0,"Heilbronn, Baden-Württemberg", Germany,51.25645058362527,10.04342644334515
610,Victor Santillan,bantam,12 0 0,27.0,"Trujillo Alto, Puerto Rico",12,0,0,12,100.0,Trujillo Alto, Puerto Rico,18.729506565091647,-66.59940141061136
611,Lienard Sarcon,feather,10 0 0,22.0,"Davao City, Davao del Sur, Philippines",10,0,0,10,100.0,"Davao City, Davao del Sur", Philippines,13.265155872352635,122.98276901776967
612,Mercito Gesta,light,33 3 3,35.0,"San Diego, California, USA",33,3,3,39,84.6,"San Diego, California", USA,40.56963438036459,-100.06825465849889
613,Adam Lopez,feather,16 3 0,26.0,"Glendale, California, USA",16,3,0,19,84.2,"Glendale, California", USA,40.312985059111554,-100.09437034338967
614,Kayne Clarke,light,13 0 0,35.0,"Malvern, Victoria, Australia",13,0,0,13,100.0,"Malvern, Victoria", Australia,-24.555555781465614,134.47437422308053
615,Jack Cullen,super middle,21 3 1,29.0,"Little Lever, Lancashire, United Kingdom",21,3,1,25,84.0,"Little Lever, Lancashire", United Kingdom,54.69691749196121,-3.2230811467239766
616,Luka Plantic,super middle,3 0 0,26.0,"Solin, Croatia",3,0,0,3,100.0,Solin, Croatia,45.475034080096115,17.076576045696417
617,Jarrell Miller,heavy,25 0 1,34.0,"North Bellmore, New York, USA",25,0,1,26,96.2,"North Bellmore, New York", USA,40.40638388934737,-100.3695271667458
618,Thomas Piccirillo,middle,11 0 4,29.0,"Cologne, Nordrhein-Westfalen, Germany",11,0,4,15,73.3,"Cologne, Nordrhein-Westfalen", Germany,51.43567816520362,10.239420945656203
619,Bakhodir Jalolov,heavy,12 0 0,28.0,"Brooklyn, New York, USA",12,0,0,12,100.0,"Brooklyn, New York", USA,39.953701317691916,-100.65909230854119
620,Sergio Garcia,super welter,33 2 0,30.0,"Torrelavega, Cantabria, Spain",33,2,0,35,94.3,"Torrelavega, Cantabria", Spain,39.85918442047172,-4.424143294419354
621,"Abraham Gabriel 
 Buonarrigo",super middle,11 4 0,27.0,"Guaymallen, Mendoza, Argentina",11,4,0,15,73.3,"Guaymallen, Mendoza", Argentina,-35.60645465862139,-65.82895147273327
622,Enock Poulsen,super light,12 0 0,30.0,"Aarhus, Denmark",12,0,0,12,100.0,Aarhus, Denmark,56.526670137910436,10.524678174752948
623,Ender Luces,super feather,18 0 0,23.0,"El Tigrito, Venezuela",18,0,0,18,100.0,El Tigrito, Venezuela,8.691500449400069,-65.93966272270954
624,Hugo Alberto Roldan,super light,21 1 1,29.0,"La Banda, Santiago del Estero, Argentina",21,1,1,23,91.3,"La Banda, Santiago del Estero", Argentina,-34.91601893339044,-65.07283178946166
625,Harold Calderon,welter,27 0 0,35.0,"Miami, Florida, USA",27,0,0,27,100.0,"Miami, Florida", USA,40.43807875291424,-101.0807021934318
626,Adrian Taylor,cruiser,13 1 1,32.0,"Dallas, Texas, USA",13,1,1,15,86.7,"Dallas, Texas", USA,39.73040938626389,-100.58894328275123
627,"Francisco Emanuel 
 Torres",middle,17 4 1,33.0,"Jose Leon Suarez, Buenos Aires, Argentina",17,4,1,22,77.3,"Jose Leon Suarez, Buenos Aires", Argentina,-34.38005927119392,-64.9987636772399
628,Bryan Flores,light,22 0 1,26.0,"Ciudad Juarez, Chihuahua, Mexico",22,0,1,23,95.7,"Ciudad Juarez, Chihuahua", Mexico,24.012094258142263,-101.3458434483743
629,Ismael Villarreal,super welter,12 0 0,25.0,"Bronx, New York, USA",12,0,0,12,100.0,"Bronx, New York", USA,39.7120685113638,-100.33236541031775
630,Charly Suarez,super feather,14 0 0,34.0,"Manila, Metro Manila, Philippines",14,0,0,14,100.0,"Manila, Metro Manila", Philippines,12.238198302072032,122.53451683442466
631,Salvador Juarez,super fly,17 7 2,29.0,"Mexico City, Distrito Federal, Mexico",17,7,2,26,65.4,"Mexico City, Distrito Federal", Mexico,24.267257374391754,-102.27658576373344
632,Manuel Gallegos,super middle,20 1 0,25.0,"Los Mochis, Sinaloa, Mexico",20,1,0,21,95.2,"Los Mochis, Sinaloa", Mexico,23.573383690313705,-102.08475182898236
633,Oscar Duarte Jurado,light,23 1 1,26.0,"Parral, Chihuahua, Mexico",23,1,1,25,92.0,"Parral, Chihuahua", Mexico,23.486223823019124,-102.21757745140309
634,Georges Ory,super fly,15 3 1,31.0,"Angers, Maine-et-Loire, France",15,3,1,19,78.9,"Angers, Maine-et-Loire", France,46.49157467634487,2.325823986032012
635,Denis Radovan,middle,16 0 1,30.0,"Cologne, Nordrhein-Westfalen, Germany",16,0,1,17,94.1,"Cologne, Nordrhein-Westfalen", Germany,51.96623945236014,10.190233682278302
636,Alan Sanchez,welter,22 5 1,31.0,"Fairfield, California, USA",22,5,1,28,78.6,"Fairfield, California", USA,39.883021212346655,-101.15488798613501
637,Caoimhin Agyarko,super welter,12 0 0,26.0,"Belfast, Northern Ireland, United Kingdom",12,0,0,12,100.0,"Belfast, Northern Ireland", United Kingdom,54.05846714001873,-3.2954747753239784
638,Evgeny Romanov,heavy,17 0 0,37.0,"Volgograd, Russia",17,0,0,17,100.0,Volgograd, Russia,63.68014074969568,98.59539266897562
639,Dilan Prasovic,cruiser,16 3 0,27.0,"Herceg Novi, Montenegro",16,3,0,19,84.2,Herceg Novi, Montenegro,43.90902606890275,20.60356350097065
640,Daniele Scardina,super middle,20 1 0,30.0,"Miami Beach, Florida, USA",20,1,0,21,95.2,"Miami Beach, Florida", USA,39.1874661534974,-100.87337833861926
641,Mirko Natalizi,super welter,13 0 0,27.0,"Roma, Lazio, Italy",13,0,0,13,100.0,"Roma, Lazio", Italy,42.88440304853546,13.49959612935536
642,James Bernadin,super light,9 0 1,30.0,"Lancaster, Pennsylvania, USA",9,0,1,10,90.0,"Lancaster, Pennsylvania", USA,38.68352537915108,-100.72693141746093
643,Jadier Herrera,super feather,9 0 0,20.0,"Dubai, United Arab Emirates",9,0,0,9,100.0,Dubai, United Arab Emirates,23.946678964036334,54.01878764306461
644,Lenar Perez,cruiser,10 0 0,24.0,"Vladikavkaz, Russia",10,0,0,10,100.0,Vladikavkaz, Russia,64.51582813996426,98.2132341767952
645,Mykquan Williams,super light,19 0 1,24.0,"East Hartford, Connecticut, USA",19,0,1,20,95.0,"East Hartford, Connecticut", USA,39.5312980003425,-100.06179864652528
646,Xolisani Ndongeni,super light,31 2 0,32.0,,31,2,0,33,93.9,,,44.68230810492232,7.036849536238535
646,Xolisani Ndongeni,super light,31 2 0,32.0,,31,2,0,33,93.9,,,46.376609870948805,11.813819508964194
647,Eliot Chavez,super feather,11 5 1,27.0,"Torreon, Coahuila de Zaragoza, Mexico",11,5,1,17,64.7,"Torreon, Coahuila de Zaragoza", Mexico,23.840403016378374,-101.59724971052385
648,Otabek Kholmatov,feather,10 0 0,24.0,"Hollywood, Florida, USA",10,0,0,10,100.0,"Hollywood, Florida", USA,39.93335393363373,-99.92346549471199
649,Jong Seon Kang,feather,15 1 2,21.0,"Gwangju City, South Korea",15,1,2,18,83.3,Gwangju City, South Korea,36.81540850762354,127.30045383569797
650,Quinton Randall,welter,11 0 1,32.0,"Houston, Texas, USA",11,0,1,12,91.7,"Houston, Texas", USA,39.99162517023541,-101.3775530071353
651,Anthony Fowler,middle,16 2 0,31.0,"Liverpool, Merseyside, United Kingdom",16,2,0,18,88.9,"Liverpool, Merseyside", United Kingdom,54.472647470655495,-2.614391877920403
652,Carl Jammes Martin,super bantam,21 0 0,23.0,"Lagawe, Ifugao, Philippines",21,0,0,21,100.0,"Lagawe, Ifugao", Philippines,12.810971510147114,122.76606290338879
653,Paul Fleming,super feather,28 0 1,34.0,"Sydney, New South Wales, Australia",28,0,1,29,96.6,"Sydney, New South Wales", Australia,-25.639843694548123,134.84234414950313
654,Vlad Panin,welter,16 1 0,27.0,"Los Angeles, California, USA",16,1,0,17,94.1,"Los Angeles, California", USA,39.825653785304176,-99.76258036546128
655,Takuya Watanabe,super feather,39 11 1,33.0,"Tokyo, Japan",39,11,1,51,76.5,Tokyo, Japan,36.27092839870331,139.5015137978648
656,Shawn McCalman,super middle,12 0 0,29.0,"Aurora, Colorado, USA",12,0,0,12,100.0,"Aurora, Colorado", USA,39.92619446319504,-100.9193790342848
657,"Angel Daniel Garcia 
 Molina",super feather,14 0 0,20.0,"Ensenada, Baja California, Mexico",14,0,0,14,100.0,"Ensenada, Baja California", Mexico,23.543560590682592,-101.97081676750871
658,Nathaniel Gallimore,super welter,22 6 1,34.0,"Des Plaines, Illinois, USA",22,6,1,29,75.9,"Des Plaines, Illinois", USA,39.31084544904557,-100.2873929930069
659,"Cristopher Lopez 
 Rodriguez",super bantam,16 0 1,25.0,"Guadalajara, Jalisco, Mexico",16,0,1,17,94.1,"Guadalajara, Jalisco", Mexico,24.101868790628235,-102.25155010146447
660,Rudy Garcia,super bantam,13 0 1,26.0,"Los Angeles, California, USA",13,0,1,14,92.9,"Los Angeles, California", USA,39.41453910346859,-99.59105850629163
661,Rene Tellez Giron,light,16 2 0,23.0,"Queretaro, Queretaro, Mexico",16,2,0,18,88.9,"Queretaro, Queretaro", Mexico,22.979198036909725,-102.7561386786643
662,Samuel Carmona,fly,8 1 0,26.0,"Las Palmas, Islas Canarias, Spain",8,1,0,9,88.9,"Las Palmas, Islas Canarias", Spain,39.63949523421949,-4.714063279294683
663,Xander Zayas,super welter,15 0 0,20.0,"Sunrise, Florida, USA",15,0,0,15,100.0,"Sunrise, Florida", USA,40.41339537423236,-99.5322611905016
664,Reshat Mati,welter,13 0 0,24.0,"Staten Island, New York, USA",13,0,0,13,100.0,"Staten Island, New York", USA,40.38147319015671,-99.75803359748939
665,Mohamed Mimoune,super light,22 5 0,35.0,"Toulouse, Haute-Garonne, France",22,5,0,27,81.5,"Toulouse, Haute-Garonne", France,46.23078689777548,1.90907817576384
666,Linus Udofia,middle,17 1 0,29.0,"Luton, Bedfordshire, United Kingdom",17,1,0,18,94.4,"Luton, Bedfordshire", United Kingdom,54.698955291167536,-3.125361836230025
667,Marc Leach,super bantam,18 2 1,28.0,"Salford, Lancashire, United Kingdom",18,2,1,21,85.7,"Salford, Lancashire", United Kingdom,53.57936319207931,-3.109805847985772
668,Ryad Merhy,,31 1 0,30.0,"Brussels, Bruxelles-Capitale, Belgium",31,1,0,32,96.9,"Brussels, Bruxelles-Capitale", Belgium,50.9478653078072,5.661547654477879
669,Ernesto Mercado,light,8 0 0,21.0,"Pomona, California, USA",8,0,0,8,100.0,"Pomona, California", USA,40.583162764404996,-99.3388091505359
670,"Christian Medina 
 Jimenez",bantam,21 3 0,22.0,"Guadalajara, Jalisco, Mexico",21,3,0,24,87.5,"Guadalajara, Jalisco", Mexico,23.40159677968455,-101.78992788543397
